                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.48454,                 0.6803,                 1.1157,                0.78088,                   0.78,                0.80677,                0.37284,                 1.9528,                 1.2556,                 4.0429,               0.007492,               0.007492,               0.007492
                     78,                0.48201,                0.66368,                 1.1125,                0.78959,                   0.78,                0.82349,                0.39506,                 1.8744,                 1.2102,                 4.1943,               0.007459,               0.007459,               0.007459
                     79,                0.48421,                0.66854,                 1.1246,                0.66031,                   0.79,                0.72921,                0.35732,                 1.9264,                 1.1902,                 4.1162,               0.007426,               0.007426,               0.007426
                     80,                0.48087,                0.67299,                 1.1118,                0.68732,                   0.78,                0.76444,                0.37974,                 1.8629,                 1.1865,                 3.8184,               0.007393,               0.007393,               0.007393
                     81,                0.48048,                0.66365,                 1.1154,                 0.6896,                0.78986,                0.81148,                0.37758,                 1.9109,                 1.2533,                 3.9309,                0.00736,                0.00736,                0.00736
                     82,                0.47842,                0.66328,                  1.113,                0.79834,                0.74626,                0.79922,                0.38037,                 1.9095,                 1.1793,                 3.9488,               0.007327,               0.007327,               0.007327
                     83,                0.48563,                0.66881,                 1.1171,                0.61105,                   0.79,                0.75303,                0.37994,                 1.8517,                 1.1712,                 3.8339,               0.007294,               0.007294,               0.007294
                     84,                0.46957,                 0.6477,                 1.1039,                0.73281,                   0.76,                0.77628,                0.37469,                 1.8555,                 1.1605,                 3.8751,               0.007261,               0.007261,               0.007261
                     85,                0.48175,                0.65647,                 1.1179,                0.76385,                   0.78,                0.82353,                0.40019,                 1.8984,                 1.1205,                 3.9764,               0.007228,               0.007228,               0.007228
                     86,                0.48084,                0.66623,                 1.1166,                0.70321,                0.74752,                0.79359,                0.38177,                 1.8333,                 1.2208,                 3.7837,               0.007195,               0.007195,               0.007195
                     87,                0.48352,                0.65744,                 1.1192,                0.81074,                   0.82,                0.84771,                0.40537,                 1.9142,                 1.1117,                 4.1414,               0.007162,               0.007162,               0.007162
                     88,                0.48759,                0.66009,                 1.1177,                0.73266,                0.83265,                0.83872,                 0.3991,                 1.9182,                 1.1359,                 3.9856,               0.007129,               0.007129,               0.007129
                     89,                0.47273,                0.65072,                 1.1079,                0.66315,                0.74396,                0.75711,                0.37459,                 1.9221,                 1.3315,                 4.0859,               0.007096,               0.007096,               0.007096
                     90,                  0.476,                0.64554,                 1.1117,                0.72048,                0.78001,                0.80385,                0.38077,                 1.8835,                 1.2236,                 3.9652,               0.007063,               0.007063,               0.007063
                     91,                0.47648,                0.65216,                 1.1107,                0.74251,                0.79342,                0.83327,                0.39397,                 1.8994,                  1.104,                 4.0572,                0.00703,                0.00703,                0.00703
                     92,                0.47937,                0.65685,                 1.1218,                0.69714,                   0.72,                0.76195,                0.36996,                 1.8802,                 1.2439,                 3.9296,               0.006997,               0.006997,               0.006997
                     93,                0.46267,                0.65356,                 1.1043,                  0.808,                0.71928,                0.80179,                0.37602,                 1.9407,                 1.2081,                 4.2022,               0.006964,               0.006964,               0.006964
                     94,                0.48146,                0.63815,                 1.1177,                0.68215,                   0.84,                0.80103,                 0.3902,                 1.9056,                 1.1416,                  4.009,               0.006931,               0.006931,               0.006931
                     95,                0.47228,                0.64093,                 1.1151,                0.75898,                0.76251,                0.82124,                0.36937,                 1.9557,                 1.1768,                 4.1098,               0.006898,               0.006898,               0.006898
                     96,                0.47018,                 0.6438,                 1.1093,                0.71842,                0.76099,                0.81394,                0.37984,                 1.8824,                 1.2029,                  3.898,               0.006865,               0.006865,               0.006865
                     97,                0.46548,                0.61948,                 1.1029,                0.69914,                   0.79,                0.80036,                0.38468,                 1.8688,                 1.1615,                 3.8304,               0.006832,               0.006832,               0.006832
                     98,                0.47444,                0.64016,                 1.1093,                0.73478,                0.77953,                0.82421,                0.36485,                 1.9963,                 1.1164,                  4.211,               0.006799,               0.006799,               0.006799
                     99,                0.47229,                0.63654,                 1.1089,                0.71764,                   0.82,                0.83789,                0.38309,                  1.928,                 1.1582,                 4.0881,               0.006766,               0.006766,               0.006766
                    100,                0.47536,                0.61789,                 1.1146,                0.78926,                   0.71,                0.81722,                0.38393,                 1.9374,                 1.2074,                 4.1456,               0.006733,               0.006733,               0.006733
                    101,                0.46492,                0.61461,                  1.105,                0.79017,                 0.7677,                0.82165,                0.37754,                 1.9474,                 1.0754,                 4.0155,                 0.0067,                 0.0067,                 0.0067
                    102,                0.47419,                0.62971,                  1.109,                0.74746,                0.82873,                0.80897,                 0.3778,                 1.9324,                 1.0751,                 4.0492,               0.006667,               0.006667,               0.006667
